file,window,cadence_reb,config,strat_roi,spy_roi,XLK_roi,vs_XLK,QQQ_roi,vs_QQQ,SMH_roi,vs_SMH,EWU_roi,vs_EWU,INIT_roi,vs_INIT,rand_pctile,rand_median_roi
psperm_0827_tech_gpt-51_6x_20-10_202503_20260707_151200_795417_w0.json,2025-03-01,5,20-10,34.44,18.89025100349475,27.703299032216222,6.736700967783776,22.798510271527018,11.64148972847298,82.78752118759236,-48.34752118759236,54.030115728521764,-19.590115728521766,61.16528815649605,-26.72528815649605,16.5,53.1222943870722
psperm_0828_tech_gpt-51_6x_20-5_202503_20260707_112617_899215_w0.json,2025-03-01,5,20-5,22.57,18.89025100349475,27.703299032216222,-5.133299032216222,22.798510271527018,-0.22851027152701775,82.78752118759236,-60.21752118759236,54.030115728521764,-31.460115728521764,39.286622321126,-16.716622321126003,20.0,48.24023672095581
psperm_0829_tech_gpt-51_6x_10-5_202503_20260707_112603_541861_w1.json,2025-03-01,5,10-5,27.58,18.89025100349475,27.703299032216222,-0.12329903221622374,22.798510271527018,4.78148972847298,82.78752118759236,-55.20752118759236,54.030115728521764,-26.450115728521766,34.09340314067856,-6.513403140678562,26.0,48.24023672095581
psperm_0834_tech_gpt-51_12x_20-10_202503_20260707_173951_849649_w0.json,2025-03-01,11,20-10,35.35,18.89025100349475,27.703299032216222,7.646700967783779,22.798510271527018,12.551489728472983,82.78752118759236,-47.43752118759236,54.030115728521764,-18.680115728521763,31.28973913171356,4.060260868286441,17.5,53.1222943870722
psperm_0897_tech_gpt-51_2x_20-10_202504_20260706_144559_323949_w0.json,2025-04-01,1,20-10,44.4,18.143828397992003,30.46877002578443,13.931229974215569,24.209499244637158,20.19050075536284,85.03912970443177,-40.639129704431774,54.23753126441942,-9.837531264419418,58.53383858186544,-14.13383858186544,36.7,51.870551386643385
psperm_0898_tech_gpt-51_2x_20-5_202504_20260706_164224_650874_w0.json,2025-04-01,1,20-5,34.06,18.143828397992003,30.46877002578443,3.5912299742155724,24.209499244637158,9.850500755362845,85.03912970443177,-50.97912970443177,54.23753126441942,-20.177531264419414,39.23623301279932,-5.176233012799315,31.2,50.74940376327115
psperm_0899_tech_gpt-51_2x_10-5_202504_20260706_171603_483416_w0.json,2025-04-01,1,10-5,34.26,18.143828397992003,30.46877002578443,3.791229974215568,24.209499244637158,10.05050075536284,85.03912970443177,-50.779129704431774,54.23753126441942,-19.97753126441942,80.67320127238938,-46.41320127238938,31.4,50.74940376327115
psperm_0904_tech_gpt-51_4x_20-10_202504_20260706_130438_127856_w0.json,2025-04-01,3,20-10,32.13,18.143828397992003,30.46877002578443,1.6612299742155727,24.209499244637158,7.920500755362845,85.03912970443177,-52.90912970443177,54.23753126441942,-22.107531264419414,53.63984611414406,-21.50984611414406,14.799999999999999,51.870551386643385
psperm_0905_tech_gpt-51_4x_20-5_202504_20260706_142858_622059_w0.json,2025-04-01,3,20-5,30.79,18.143807041053563,30.46877002578443,0.3212299742155693,24.209499244637158,6.580500755362841,85.03912970443177,-54.24912970443177,54.23753126441942,-23.447531264419418,68.79585180300799,-38.00585180300799,27.1,50.74940376327115
psperm_0906_tech_gpt-51_4x_10-5_202504_20260706_171916_238275_w0.json,2025-04-01,3,10-5,31.67,18.143828397992003,30.46877002578443,1.2012299742155719,24.209499244637158,7.460500755362844,85.03912970443177,-53.36912970443177,54.23753126441942,-22.567531264419415,70.29923293636315,-38.62923293636315,28.199999999999996,50.74940376327115
