file,parsed,has_meta,has_roi,has_recs,model,temp,window,period,cfg,roi,n_holdings,model_raw,err
perm_0160_gpt-4o_T0.3_12mo_202411_20260618_043022.json,True,True,True,True,GPT-4o,0.3,202411,12,unfiltered,29.450560663952963,7.0,gpt-4o,
perm_0161_gpt-4o-mini_T0.3_12mo_202406_20260222_193858.json,True,True,True,True,GPT-4o-mini,0.3,202406,12,10→5,-7.234284182222855,5.0,gpt-4o-mini,
perm_0161_gpt-4o-mini_T0.3_12mo_202406_20260222_220619.json,True,False,False,False,GPT-4o-mini,0.3,202406,12,,,,gpt-4o-mini,
perm_0161_gpt-4o-mini_T0.3_12mo_202406_20260222_220919.json,True,False,False,False,GPT-4o-mini,0.3,202406,12,,,,gpt-4o-mini,
perm_0161_gpt-4o-mini_T0.3_12mo_202406_20260222_220920.json,True,False,False,False,GPT-4o-mini,0.3,202406,12,,,,gpt-4o-mini,
perm_0161_gpt-4o-mini_T0.3_12mo_202406_20260222_221101.json,True,True,True,True,GPT-4o-mini,0.3,202406,12,10→5,13.369442372495085,5.0,gpt-4o-mini,
perm_0161_gpt-4o-mini_T0.3_12mo_202406_20260222_221103.json,True,True,True,True,GPT-4o-mini,0.3,202406,12,10→5,12.653062686744288,5.0,gpt-4o-mini,
perm_0162_gpt-4o-mini_T0.3_12mo_202406_20260222_193855.json,True,True,True,True,GPT-4o-mini,0.3,202406,12,5→3,5.809987765901314,3.0,gpt-4o-mini,
perm_0162_gpt-4o-mini_T0.3_12mo_202406_20260222_220619.json,True,False,False,False,GPT-4o-mini,0.3,202406,12,,,,gpt-4o-mini,
perm_0162_gpt-4o-mini_T0.3_12mo_202406_20260222_220919.json,True,False,False,False,GPT-4o-mini,0.3,202406,12,,,,gpt-4o-mini,
perm_0162_gpt-4o-mini_T0.3_12mo_202406_20260222_220920.json,True,False,False,False,GPT-4o-mini,0.3,202406,12,,,,gpt-4o-mini,
perm_0162_gpt-4o-mini_T0.3_12mo_202406_20260222_221103.json,True,True,True,True,GPT-4o-mini,0.3,202406,12,5→3,11.102128100631944,3.0,gpt-4o-mini,
perm_0162_gpt-4o-mini_T0.3_12mo_202406_20260222_221104.json,True,True,True,True,GPT-4o-mini,0.3,202406,12,5→3,11.102128100631944,3.0,gpt-4o-mini,
perm_0163_gpt-4o_T0.3_12mo_202412_20260615_110356.json,True,True,True,True,GPT-4o,0.3,202412,12,Ranked,37.06689700711007,7.0,gpt-4o,
perm_0163_gpt-4o_T0.3_12mo_202412_20260615_110417.json,True,True,True,True,GPT-4o,0.3,202412,12,Ranked,35.16076897253788,6.0,gpt-4o,
perm_0163_gpt-4o_T0.3_12mo_202412_20260615_110440.json,True,True,True,True,GPT-4o,0.3,202412,12,Ranked,36.6980436037407,5.0,gpt-4o,
perm_0164_gpt-4o-mini_T0.3_12mo_202411_20260616_132127.json,True,True,True,True,GPT-4o-mini,0.3,202411,12,30→5,27.43583157921774,5.0,gpt-4o-mini,
