model,config,window,arm,roi,total_tokens,n_holdings
gpt-5.1,20->10,2024-12,3,A6_hold_all,32.6232783664956,26090,20
gpt-5.1,20->10,2025-01,1,A1_single_pool,36.23687948697783,37347,10
gpt-5.1,20->10,2025-01,1,A2_sequential_cut,38.06593148328869,25381,10
gpt-5.1,20->10,2025-01,1,A3_sequential_nocut,38.732115244874294,25088,10
gpt-5.1,20->10,2025-01,1,A4_reports_scrambled,35.302860812710534,25079,10
gpt-5.1,20->10,2025-01,1,A5_single_matched,38.932515980291996,35598,10
gpt-5.1,20->10,2025-01,1,A6_hold_all,46.71667334506134,25990,20
gpt-5.1,20->10,2025-01,2,A1_single_pool,36.43231740585843,39823,10
gpt-5.1,20->10,2025-01,2,A2_sequential_cut,42.741503208458994,25495,10
gpt-5.1,20->10,2025-01,2,A3_sequential_nocut,36.97683631014943,25021,10
gpt-5.1,20->10,2025-01,2,A4_reports_scrambled,26.075102948179957,25177,10
gpt-5.1,20->10,2025-01,2,A5_single_matched,39.355695659518766,35630,10
gpt-5.1,20->10,2025-01,2,A6_hold_all,32.20303830807729,26038,20
gpt-5.1,20->10,2025-01,3,A1_single_pool,42.03277696571924,38739,10
gpt-5.1,20->10,2025-01,3,A2_sequential_cut,43.313814961316474,24858,10
gpt-5.1,20->10,2025-01,3,A3_sequential_nocut,46.411106395731494,24957,10
gpt-5.1,20->10,2025-01,3,A4_reports_scrambled,32.744433374256275,24645,10
gpt-5.1,20->10,2025-01,3,A5_single_matched,42.49830317689706,35312,10
gpt-5.1,20->10,2025-01,3,A6_hold_all,45.99032114611457,25620,20
gpt-5.1,20->10,2025-02,1,A1_single_pool,47.2771351194966,36438,10
gpt-5.1,20->10,2025-02,1,A2_sequential_cut,50.22125625979399,25126,10
gpt-5.1,20->10,2025-02,1,A3_sequential_nocut,52.80480502621755,25168,10
gpt-5.1,20->10,2025-02,1,A4_reports_scrambled,30.012971118280383,25317,10
gpt-5.1,20->10,2025-02,1,A5_single_matched,44.47655925069877,35109,10
gpt-5.1,20->10,2025-02,1,A6_hold_all,41.095502271135935,26060,20
gpt-5.1,20->10,2025-02,2,A1_single_pool,54.225641542148914,37192,10
gpt-5.1,20->10,2025-02,2,A2_sequential_cut,51.71158143219774,24687,10
gpt-5.1,20->10,2025-02,2,A3_sequential_nocut,56.704231493634616,24221,10
gpt-5.1,20->10,2025-02,2,A4_reports_scrambled,47.13068332480886,24259,10
gpt-5.1,20->10,2025-02,2,A5_single_matched,48.819897942867826,34546,10
gpt-5.1,20->10,2025-02,2,A6_hold_all,56.69390654430209,25162,21
gpt-5.1,20->10,2025-03,1,A1_single_pool,77.1298119996562,35709,10
gpt-5.1,20->10,2025-03,1,A2_sequential_cut,92.49244515989659,24741,10
gpt-5.1,20->10,2025-03,1,A3_sequential_nocut,88.1340134417847,25028,10
gpt-5.1,20->10,2025-03,1,A4_reports_scrambled,70.29521474008948,24946,10
gpt-5.1,20->10,2025-03,1,A5_single_matched,70.29497997824757,34069,10
gpt-5.1,20->10,2025-03,1,A6_hold_all,73.27303613791744,26423,20
gpt-5.1,20->10,2025-02,3,A1_single_pool,48.856690165633296,38436,10
gpt-5.1,20->10,2025-02,3,A2_sequential_cut,54.30817523530265,25591,10
